"","urbrur","hhsize","statocc","rooms","bedrooms","floor","walls","roof","electricity","cook_fuel","phone","cell","car","bicycle","motorcycle","refrigerator","tv","radio","bank","exp_01","exp_02","exp_03","exp_04","exp_05","exp_06","exp_07","exp_08","exp_09","exp_10","exp_11","exp_12"
"1","Urban",1,"Owned",1,1,"Cement","Brick","Metal","Yes","Gas","No","No","No","No","No","Yes","Yes","No","No",1279,162,266,1662,153,63,372,103,76,38,544,326
"2","Urban",1,"Rented",1,0,"Cement","Stone","Metal","Yes","Petroleum","No","Yes","No","No","No","No","No","No","Yes",1755,71,279,676,258,78,273,264,103,90,571,234
"3","Urban",2,"Owned",4,1,"Cement","Brick","Concrete","Yes","Electricity","No","Yes","No","No","No","Yes","Yes","Yes","Yes",1722,59,696,3724,390,188,710,582,389,356,305,836
"4","Urban",2,"Owned",1,1,"Cement","Brick","Metal","Yes","Gas","No","Yes","No","No","No","Yes","Yes","No","Yes",3700,174,660,2921,340,238,1049,592,206,149,576,928
"5","Urban",1,"Rented",3,2,"Other","Brick","Concrete","Yes","Wood","Yes","Yes","Yes","No","No","Yes","Yes","No","Yes",1492,82,603,5556,957,165,2386,516,441,267,1395,689
"6","Urban",2,"Owned",3,2,"Cement","Brick","Concrete","Yes","Gas","Yes","No","No","No","No","Yes","Yes","Yes","No",2433,15,152,3900,286,331,210,660,112,31,45,347
"7","Urban",3,"Rented",4,2,"Cement","Brick","Concrete","Yes","Gas","No","Yes","Yes","No","No","No","Yes","Yes","Yes",3402,42,859,4202,591,699,1905,871,598,934,203,1050
"8","Urban",2,"Owned",3,2,"Cement","Brick","Concrete","Yes","Gas","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Yes",3214,43,531,6966,1208,650,2176,1891,551,234,342,1127
"9","Urban",1,"Rented",1,1,"Earth","Brick","Concrete","Yes","Gas","No","No","No","No","No","No","No","Yes","No",443,4,66,1216,27,45,52,12,12,8,37,85
"10","Urban",4,"Free",3,2,"Cement","Adobe","Metal","Yes","Other","No","No","No","No","Yes","Yes","Yes","No","No",3680,13,360,1591,847,570,399,69,798,119,15,378
"11","Urban",5,"Owned",5,3,"Other","Brick","Concrete","Yes","Gas","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes",5467,57,1360,8067,1514,1004,3912,2000,741,2354,567,1581
"12","Urban",1,"Rented",1,1,"Earth","Brick","Concrete","Yes","Gas","No","Yes","No","No","No","Yes","Yes","No","Yes",1502,62,335,2281,237,130,505,369,103,58,578,479
"13","Urban",4,"Rented",4,2,"Other","Concrete","Concrete","Yes","Gas","No","Yes","No","No","Yes","Yes","No","Yes","Yes",7165,58,1305,4491,2278,904,2073,445,1178,706,114,1044
"14","Urban",2,"Owned",1,1,"Cement","Wood","Metal","Yes","Wood","No","Yes","No","No","No","Yes","Yes","Yes","Yes",2986,116,330,1950,224,100,348,360,120,101,349,481
"15","Urban",1,"Owned",1,0,"Cement","Metal","Metal","No","Petroleum","No","Yes","No","No","No","No","Yes","No","Yes",1029,220,410,628,292,32,286,339,183,39,199,317
"16","Urban",2,"Owned",1,1,"Cement","Brick","Concrete","Yes","Petroleum","No","No","No","No","No","No","No","No","No",2120,74,495,2425,159,151,343,110,118,194,502,612
"17","Urban",2,"Owned",3,2,"Other","Brick","Concrete","Yes","Gas","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Yes",3196,49,658,8231,1526,541,2609,1679,578,331,663,1072
"18","Urban",2,"Owned",5,3,"Other","Brick","Concrete","Yes","Gas","Yes","No","No","No","No","Yes","Yes","Yes","No",2659,25,219,6844,435,360,323,924,151,49,108,461
"19","Urban",1,"Owned",5,1,"Cement","Brick","Concrete","Yes","Gas","No","Yes","No","No","No","Yes","Yes","Yes","Yes",1342,43,327,5154,490,246,537,606,269,39,258,456
"20","Urban",2,"Rented",1,1,"Cement","Brick","Concrete","Yes","Gas","No","No","No","No","No","Yes","Yes","Yes","No",2118,35,343,2146,167,121,408,109,77,92,264,540
"21","Urban",2,"Owned",7,2,"Other","Concrete","Concrete","Yes","Gas","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Yes",5172,37,557,8204,3023,1109,2493,1515,1625,160,109,1260
"22","Urban",4,"Owned",2,1,"Other","Brick","Concrete","Yes","Gas","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes",3997,54,1300,4992,1132,534,3854,1335,650,1135,702,1437
"23","Urban",2,"Rented",1,1,"Cement","Brick","Wood","Yes","Gas","No","Yes","No","No","No","Yes","Yes","Yes","Yes",2853,163,703,2566,502,253,1016,750,351,163,733,773
"24","Urban",9,"Owned",5,3,"Cement","Brick","Metal","Yes","Coal","No","Yes","No","Yes","No","Yes","Yes","Yes","Yes",8778,292,905,5581,586,336,1667,362,721,1097,968,558
"25","Urban",2,"Owned",7,4,"Other","Concrete","Concrete","Yes","Coal","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Yes",5682,41,557,11868,2992,1017,2692,1708,1412,139,187,1451
"26","Urban",1,"Owned",1,1,"Cement","Brick","Concrete","Yes","Gas","No","Yes","No","No","No","Yes","No","No","No",1602,16,214,3418,210,212,331,307,68,36,199,386
"27","Urban",4,"Owned",4,2,"Cement","Brick","Metal","Yes","Gas","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Yes",4204,87,759,7208,1170,694,3953,2064,698,640,413,1432
"28","Urban",3,"Owned",3,1,"Cement","Brick","Concrete","Yes","Wood","No","Yes","No","No","No","Yes","No","Yes","No",2915,20,438,4456,242,246,323,351,114,369,219,712
"29","Urban",6,"Owned",9,3,"Other","Brick","Concrete","Yes","Gas","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",8129,144,2965,12980,2967,1287,8447,3542,2102,4183,1730,2854
"30","Urban",2,"Owned",1,0,"Other","Brick","Concrete","Yes","Gas","Yes","Yes","No","No","No","Yes","Yes","Yes","Yes",1648,13,208,3109,364,224,295,700,107,47,137,389
"31","Urban",2,"Owned",3,1,"Other","Brick","Concrete","Yes","Gas","No","No","No","No","No","Yes","Yes","Yes","No",1678,12,133,3541,128,181,156,164,43,21,53,267
"32","Urban",1,"Owned",1,1,"Other","Brick","Metal","Yes","Petroleum","No","No","No","No","No","No","No","Yes","No",567,37,133,1639,66,27,51,28,41,16,148,96
"33","Urban",2,"Owned",3,2,"Other","Concrete","Concrete","Yes","Petroleum","No","No","Yes","No","No","Yes","Yes","Yes","Yes",5855,38,618,5086,1635,535,3129,299,1233,186,160,846
"34","Urban",1,"Owned",4,3,"Cement","Brick","Concrete","Yes","Gas","No","No","No","No","No","Yes","No","Yes","No",1257,30,222,3527,137,103,211,180,90,69,159,347
"35","Urban",3,"Rented",2,2,"Cement","Brick","Metal","Yes","Gas","No","No","No","No","No","Yes","Yes","Yes","No",2388,69,327,2141,128,116,390,74,97,156,157,543
"36","Urban",3,"Owned",3,2,"Cement","Brick","Concrete","Yes","Gas","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Yes",3658,22,439,5747,935,791,1350,1338,321,227,142,891
"37","Urban",4,"Owned",6,2,"Other","Brick","Concrete","Yes","Gas","No","Yes","Yes","No","No","Yes","Yes","Yes","Yes",4734,83,1770,7173,1277,654,4762,1279,1037,2568,941,1532
"38","Urban",1,"Free",2,1,"Earth","Wood","Metal","Yes","Gas","No","No","No","No","No","No","No","Yes","No",1412,112,115,1161,87,55,150,22,36,16,88,120
"39","Urban",8,"Owned",1,1,"Cement","Wood","Metal","Yes","Wood","No","Yes","No","No","No","No","Yes","No","No",8938,100,891,2491,624,480,724,498,422,533,1099,695
"40","Urban",1,"Owned",1,0,"Cement","Other","Metal","Yes","Electricity","No","Yes","No","No","No","Yes","Yes","Yes","Yes",933,57,406,900,566,64,303,230,324,70,76,746
"41","Urban",2,"Free",2,1,"Cement","Brick","Concrete","Yes","Gas","Yes","Yes","No","No","No","Yes","Yes","Yes","Yes",2525,47,550,3561,580,267,769,1341,421,319,379,787
"42","Urban",5,"Owned",3,2,"Cement","Brick","Concrete","Yes","Gas","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",5099,63,1414,5629,1052,723,3105,1797,837,2449,544,1491
"43","Urban",2,"Owned",3,1,"Cement","Brick","Concrete","Yes","Gas","No","No","No","No","No","Yes","Yes","Yes","Yes",1511,24,237,2313,142,116,269,152,93,77,116,401
"44","Urban",1,"Rented",1,1,"Cement","Adobe","Scrap","Yes","Wood","No","No","No","No","No","No","No","No","No",654,79,131,374,140,22,88,41,38,15,395,96
"45","Urban",4,"Free",3,1,"Cement","Brick","Concrete","Yes","Gas","No","Yes","Yes","No","No","Yes","Yes","Yes","Yes",3587,42,927,3879,511,477,2210,655,368,746,317,1162
"46","Urban",3,"Owned",3,2,"Other","Brick","Concrete","Yes","Gas","Yes","No","Yes","No","No","Yes","Yes","Yes","Yes",3826,43,467,5729,591,446,1941,842,189,214,282,769
"47","Urban",2,"Owned",4,3,"Other","Brick","Concrete","Yes","Gas","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Yes",3455,56,751,9586,1727,641,2957,1949,736,408,669,1210
"48","Urban",2,"Owned",2,1,"Cement","Brick","Metal","Yes","Gas","No","No","No","No","Yes","Yes","Yes","Yes","No",2298,54,331,2106,252,132,465,118,136,92,181,536
"49","Urban",1,"Owned",2,1,"Cement","Brick","Concrete","Yes","Gas","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Yes",1755,55,600,5573,1191,304,2258,1353,735,239,639,1018
"50","Urban",2,"Owned",2,2,"Cement","Brick","Concrete","Yes","Gas","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes",2468,47,638,4210,828,331,2628,1136,483,301,572,928
"51","Urban",8,"Owned",2,2,"Cement","Brick","Concrete","Yes","Gas","No","Yes","No","Yes","No","Yes","Yes","Yes","Yes",3602,49,1019,2918,231,271,566,328,212,1522,343,775
"52","Urban",8,"Owned",2,1,"Cement","Brick","Concrete","Yes","Gas","No","No","No","No","No","Yes","Yes","No","No",2690,31,681,2205,126,141,273,69,102,1180,252,577
"53","Urban",1,"Rented",1,1,"Cement","Wood","Metal","Yes","Petroleum","No","Yes","No","No","No","No","Yes","Yes","Yes",978,136,413,858,267,58,413,317,443,65,366,321
"54","Urban",1,"Owned",2,1,"Cement","Brick","Other","Yes","Wood","No","Yes","No","No","No","Yes","Yes","No","No",1346,41,313,3374,241,84,213,273,115,145,318,540
"55","Urban",2,"Rented",2,1,"Cement","Brick","Concrete","Yes","Gas","No","No","No","No","No","Yes","Yes","No","No",1825,23,275,2685,169,137,305,158,94,95,155,496
"56","Urban",2,"Free",1,1,"Cement","Brick","Metal","Yes","Gas","No","Yes","No","No","No","Yes","Yes","Yes","Yes",3018,137,748,2644,429,182,929,654,290,222,549,999
"57","Urban",2,"Owned",1,1,"Other","Brick","Concrete","Yes","Gas","Yes","No","Yes","No","No","Yes","Yes","Yes","Yes",2832,43,610,5022,1002,264,2263,931,406,298,633,810
"58","Urban",3,"Rented",1,1,"Cement","Brick","Concrete","No","Gas","No","No","No","No","No","No","Yes","No","No",1408,24,317,1318,67,50,150,25,41,282,145,293
"59","Urban",1,"Free",4,2,"Cement","Brick","Concrete","Yes","Electricity","No","No","No","No","No","Yes","Yes","No","No",663,12,80,3524,126,86,85,118,55,11,37,179
"60","Urban",10,"Owned",1,1,"Cement","Brick","Metal","Yes","Wood","No","No","No","No","No","No","No","Yes","No",4796,93,793,1974,261,315,413,24,167,750,381,598
"61","Urban",8,"Owned",3,2,"Cement","Brick","Concrete","Yes","Gas","No","Yes","No","No","Yes","Yes","No","Yes","No",3859,62,1188,3586,254,333,696,454,282,1470,333,1039
"62","Urban",1,"Free",2,1,"Cement","Wood","Metal","No","Coal","No","Yes","Yes","No","No","No","No","No","Yes",2196,86,286,682,293,53,2548,357,227,163,557,265
"63","Urban",4,"Rented",5,3,"Cement","Brick","Concrete","Yes","Wood","No","No","No","No","No","Yes","Yes","No","No",2689,34,335,3955,107,146,268,125,83,374,168,512
"64","Urban",3,"Owned",8,2,"Cement","Brick","Concrete","Yes","Gas","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Yes",4103,42,628,7544,1179,836,2336,1979,540,408,244,1143
"65","Urban",3,"Owned",4,1,"Cement","Brick","Concrete","Yes","Gas","No","Yes","No","No","Yes","Yes","Yes","Yes","Yes",3099,44,640,3145,298,285,696,405,208,296,192,834
"66","Urban",2,"Owned",6,2,"Cement","Brick","Concrete","Yes","Gas","No","No","No","No","No","Yes","Yes","Yes","Yes",1703,23,278,3566,196,155,299,241,117,116,145,450
"67","Urban",2,"Free",2,1,"Other","Brick","Concrete","Yes","Gas","Yes","No","Yes","No","No","Yes","Yes","Yes","Yes",2848,19,271,6228,798,384,1050,819,171,70,199,609
"68","Urban",2,"Owned",2,1,"Cement","Brick","Concrete","Yes","Electricity","No","Yes","No","No","No","Yes","No","Yes","Yes",1448,19,270,3455,199,180,270,350,113,69,137,455
"69","Urban",2,"Owned",3,1,"Other","Brick","Concrete","Yes","Gas","No","Yes","No","No","No","Yes","Yes","Yes","Yes",2530,71,797,4311,469,250,983,746,372,286,630,884
"70","Urban",1,"Owned",6,3,"Cement","Concrete","Concrete","Yes","Gas","No","Yes","No","No","No","Yes","Yes","No","Yes",2057,15,219,3552,1251,401,447,206,501,40,34,418
"71","Urban",2,"Owned",3,1,"Other","Brick","Concrete","Yes","Gas","No","Yes","No","No","No","Yes","Yes","Yes","Yes",2374,34,480,4669,332,293,622,594,192,148,308,650
